rank,drug_name,target,binding_score
656,isoxsuprine,New Target,1663.3
657,ezetimibe,New Target,1663.7
658,thioproperazine,New Target,1664.64
659,toceranib,New Target,1666.11
660,articaine,New Target,1666.4
661,balsalazide disodium,New Target,1668.53
662,acalabrutinib,New Target,1673.16
663,l-theanine,New Target,1674.36
664,cloranolol,New Target,1680.31
665,hycanthone,New Target,1690.25
666,hydrocortisone-phosphate,New Target,1702.92
667,cephalothin,New Target,1703.41
668,caramiphen,New Target,1706.43
669,trandolapril,New Target,1709.24
670,dolutegravir (gsk1349572),New Target,1709.33
671,alizapride hcl,New Target,1712.82
672,clavulanate,New Target,1716.81
673,trazodone,New Target,1717.15
674,quinapril,New Target,1717.82
675,mavacoxib,New Target,1722.67
676,fludroxycortide,New Target,1723.09
677,cabergoline,New Target,1724.53
678,fludroxycortide,New Target,1724.8
679,imepitoin,New Target,1732.76
680,oxacillin,New Target,1739.55
681,lithium-citrate,New Target,1741.09
682,hydrocortisone acetate,New Target,1741.78
683,methicillin,New Target,1745.12
684,medroxyprogesterone-acetate,New Target,1751.77
685,megestrol,New Target,1754.27
686,cilnidipine,New Target,1754.82
687,flurandrenolide,New Target,1759.7
688,bromopride,New Target,1766.07
689,tolbutamide,New Target,1771.34
690,phenylpiracetam,New Target,1774.28
691,epoprostenol sodium,New Target,1781.16
692,naratriptan,New Target,1786.19
693,anisotropine,New Target,1803.54
694,tetramisole,New Target,1808.68
695,isavuconazole,New Target,1808.68
696,tiapride,New Target,1809.37
697,palonosetron,New Target,1812.32
698,benzylpenicillin,New Target,1812.79
699,cefadroxil,New Target,1815.04
700,bisoprolol,New Target,1820.82
701,labetalol hydrochloride,New Target,1821.42
702,droperidol,New Target,1845.59
703,sotalol,New Target,1846.09
704,adefovir,New Target,1848.06
705,peficitinib,New Target,1867.01
706,xipamide,New Target,1880.5
707,bupropion,New Target,1886.94
708,lodoxamide,New Target,1895.54
709,chlormidazole,New Target,1902.94
710,ceftizoxim,New Target,1909.14
